transaction_id,line_id,date,period,account_code,account_name,debit,credit,description,source_doc
JE-000001,JE-000001-1,2024-01-02,2024-01,1000,Cash,500000,0,Founding equity contribution,JE-OPEN-0001
JE-000001,JE-000001-2,2024-01-02,2024-01,3000,Common Stock,0,500000,Founding equity contribution,JE-OPEN-0001
JE-000002,JE-000002-1,2024-01-31,2024-01,1100,Accounts Receivable,184552.55,0,Monthly SaaS subscription revenue recognized,SUB-40001
JE-000002,JE-000002-2,2024-01-31,2024-01,4000,Product Revenue,0,184552.55,Monthly SaaS subscription revenue recognized,SUB-40001
JE-000003,JE-000003-1,2024-01-31,2024-01,1100,Accounts Receivable,24710.26,0,Professional services revenue recognized,SVC-40002
JE-000003,JE-000003-2,2024-01-31,2024-01,4100,Service Revenue,0,24710.26,Professional services revenue recognized,SVC-40002
JE-000004,JE-000004-1,2024-01-31,2024-01,5000,Cost of Goods Sold,58874.54,0,Hosting infrastructure & customer support costs,INV-40003
JE-000004,JE-000004-2,2024-01-31,2024-01,2000,Accounts Payable,0,58874.54,Hosting infrastructure & customer support costs,INV-40003
JE-000005,JE-000005-1,2024-01-05,2024-01,6000,Salaries & Wages,104550.87,0,Payroll run,PR-40004
JE-000005,JE-000005-2,2024-01-05,2024-01,1000,Cash,0,104550.87,Payroll run,PR-40004
JE-000006,JE-000006-1,2024-01-05,2024-01,6100,Employee Benefits,22396.62,0,Employee benefits & payroll taxes,PR-40005
JE-000006,JE-000006-2,2024-01-05,2024-01,1000,Cash,0,22396.62,Employee benefits & payroll taxes,PR-40005
JE-000007,JE-000007-1,2024-01-15,2024-01,6200,Software & Subscriptions,8625.75,0,Recurring SaaS tooling subscriptions,SUB-40006
JE-000007,JE-000007-2,2024-01-15,2024-01,1000,Cash,0,8625.75,Recurring SaaS tooling subscriptions,SUB-40006
JE-000008,JE-000008-1,2024-01-15,2024-01,6300,Marketing & Advertising,16339.63,0,Digital advertising & agency fees,INV-40007
JE-000008,JE-000008-2,2024-01-15,2024-01,2000,Accounts Payable,0,16339.63,Digital advertising & agency fees,INV-40007
JE-000009,JE-000009-1,2024-01-15,2024-01,6400,Travel & Entertainment,4107.46,0,Employee travel & client entertainment,EXP-40008
JE-000009,JE-000009-2,2024-01-15,2024-01,1000,Cash,0,4107.46,Employee travel & client entertainment,EXP-40008
JE-000010,JE-000010-1,2024-01-15,2024-01,6500,Professional Fees,14950.26,0,"Legal, audit & advisory fees",INV-40009
JE-000010,JE-000010-2,2024-01-15,2024-01,2000,Accounts Payable,0,14950.26,"Legal, audit & advisory fees",INV-40009
JE-000011,JE-000011-1,2024-01-05,2024-01,6600,Rent & Facilities,12000,0,Office lease payment,LEASE-40010
JE-000011,JE-000011-2,2024-01-05,2024-01,1000,Cash,0,12000,Office lease payment,LEASE-40010
JE-000012,JE-000012-1,2024-01-05,2024-01,1500,Fixed Assets,6682.81,0,Capital expenditure — equipment & software capitalization,CAPEX-40011
JE-000012,JE-000012-2,2024-01-05,2024-01,1000,Cash,0,6682.81,Capital expenditure — equipment & software capitalization,CAPEX-40011
JE-000013,JE-000013-1,2024-01-31,2024-01,6700,Depreciation,2000,0,Monthly depreciation expense,DEP-2024-01
JE-000013,JE-000013-2,2024-01-31,2024-01,1600,Accumulated Depreciation,0,2000,Monthly depreciation expense,DEP-2024-01
JE-000014,JE-000014-1,2024-01-15,2024-01,6800,Office Supplies,969.04,0,Office supplies,EXP-40012
JE-000014,JE-000014-2,2024-01-15,2024-01,1000,Cash,0,969.04,Office supplies,EXP-40012
JE-000015,JE-000015-1,2024-01-15,2024-01,6900,Utilities,2499.27,0,Utilities,UTIL-40013
JE-000015,JE-000015-2,2024-01-15,2024-01,1000,Cash,0,2499.27,Utilities,UTIL-40013
JE-000016,JE-000016-1,2024-01-31,2024-01,1000,Cash,177873.38,0,Customer collections on account,COLL-2024-01
JE-000016,JE-000016-2,2024-01-31,2024-01,1100,Accounts Receivable,0,177873.38,Customer collections on account,COLL-2024-01
JE-000017,JE-000017-1,2024-01-31,2024-01,2000,Accounts Payable,72131.54,0,Vendor payments on account,PMT-2024-01
JE-000017,JE-000017-2,2024-01-31,2024-01,1000,Cash,0,72131.54,Vendor payments on account,PMT-2024-01
JE-000018,JE-000018-1,2024-02-29,2024-02,1100,Accounts Receivable,192923.18,0,Monthly SaaS subscription revenue recognized,SUB-40014
JE-000018,JE-000018-2,2024-02-29,2024-02,4000,Product Revenue,0,192923.18,Monthly SaaS subscription revenue recognized,SUB-40014
JE-000019,JE-000019-1,2024-02-29,2024-02,1100,Accounts Receivable,22967.78,0,Professional services revenue recognized,SVC-40015
JE-000019,JE-000019-2,2024-02-29,2024-02,4100,Service Revenue,0,22967.78,Professional services revenue recognized,SVC-40015
JE-000020,JE-000020-1,2024-02-29,2024-02,5000,Cost of Goods Sold,61741.71,0,Hosting infrastructure & customer support costs,INV-40016
JE-000020,JE-000020-2,2024-02-29,2024-02,2000,Accounts Payable,0,61741.71,Hosting infrastructure & customer support costs,INV-40016
